id	ja	de	fr	es
ex.radio.1.023	敵ども、覚悟しろ！	Euch krieg ich, ihr Feinde!	Je vais vous avoir, les ennemis !	¡Los atraparé, enemigos!
ex.radio.1.046	ケロッ！後ろは任せて、フォックス！	Quak! Ich decke den Rücken, Fox!	Croâ ! Je ferme la marche, Fox !	¡Croac! ¡Cubriré la retaguardia, Fox!
ex.radio.1.070	急げ！助けてくれ！	Schnell! Hilfe!	Vite ! À l'aide !	¡Date prisa! ¡Ayuda!
ex.radio.1.117	前方にアタックキャリアだ！	Der Angriffsträger ist voraus!	Le porte-avions d'attaque est devant !	¡El portaaviones de ataque está delante!
ex.radio.1.118	.	.	.	.
ex.radio.1.119	.	.	.	.
ex.radio.1.120	.	.	.	.
ex.radio.1.124	.	.	.	.
ex.radio.1.143	眺めは楽しめたかね？	Hoffentlich hat dir die Aussicht gefallen!	J'espère que tu as apprécié la vue !	¡Espero que disfrutaras de la vista!
ex.radio.1.144	ほう…景色のいい道を選んだか！	Oh... Du hast die malerische Route genommen!	Oh... Tu as pris la route panoramique !	Ah... ¡Elegiste la ruta panorámica!
ex.radio.1.145	お前の父も惑星ばかり好んでいたな…	Dein Vater mochte auch nur Planeten...	Ton père aussi ne jurait que par les planètes...	Tu padre también prefería solo los planetas...
ex.radio.2.001	ま、松の木の間を抜けよう！	Flieg durch die K-Kiefern!	Passe entre les p-pins !	¡Pasa entre los p-p-pinos!
ex.radio.2.002	木の間を抜けられるか、フォックス？	Kommst du zwischen den Bäumen durch, Fox?	Tu peux passer entre les arbres, Fox ?	¿Puedes volar entre los árboles, Fox?
ex.radio.2.003	あの木の間は通るな、フォックス！	Flieg nicht zwischen diese Bäume, Fox!	Ne passe pas entre ces arbres, Fox !	¡No intentes pasar entre esos árboles, Fox!
ex.radio.2.004	か、風が強くなってきたよ！ケロッ！	Der Wind wird s-stärker! Quak!	Le vent devient plus f-fort ! Croâ !	¡El viento es más f-f-fuerte! ¡Croac!
ex.radio.2.005	みんなも何か感じないか？	Spürt das sonst noch jemand?	Vous sentez ça, vous aussi ?	¿Alguien más siente eso?
ex.radio.2.006	空気がビリビリしてるぜ！	Die Luft knistert vor Strom!	L'air est chargé d'électricité !	¡Siento la electricidad en el aire!
ex.radio.2.007	ひ、低すぎると岩にぶつかるよ！	Nicht zu t-tief, da sind Felsen!	Pas trop b-bas, attention aux rochers !	¡No vueles tan b-b-bajo! ¡Hay rocas!
ex.radio.2.008	妙な山ばかりだな…	Diese Berge sind seltsam...	Ces montagnes sont si étranges...	Estas montañas son muy extrañas...
ex.radio.2.009	観光してる場合じゃないぞ、フォックス！	Keine Zeit zum Sightseeing, Fox!	Ce n'est pas le moment de visiter, Fox !	¡No es hora de hacer turismo, Fox!
ex.radio.2.010	て、敵が多すぎるよ！	Das sind v-viel zu viele!	Ils sont b-beaucoup trop nombreux !	¡Son d-d-demasiados!
ex.radio.2.011	射撃の練習は大歓迎だぜ！	Ich liebe ein bisschen Zielübung!	J'adore m'entraîner au tir !	¡Siempre viene bien practicar el tiro!
ex.radio.2.012	調子に乗るな！集中しろ！	Nicht angeben, konzentrier dich!	Ne frime pas, reste concentré !	¡No presumas ahora! ¡Concéntrate!
ex.radio.2.013	いよいよだね！ケロッ！い、行こう！	Jetzt geht's los! Quak! A-auf geht's!	Ça y est ! Croâ ! On y v-va !	¡Llegó la hora! ¡Croac! ¡V-v-vamos!
ex.radio.2.014	報酬をもらいに行くぞ！	Zeit für unseren Lohn! Los geht's!	Allons toucher notre paie !	¡Hora de cobrar! ¡Vamos!
ex.radio.2.015	これが最後の仕事だ！派手に行くぜ！	Unser letzter Auftrag! Jetzt geht's rund!	Dernier boulot ! On va tout donner !	¡Es nuestro último trabajo! ¡A todo ritmo!
ex.radio.2.016	つ、強いエネルギー反応だよ！	Ich messe h-hohe Energiewerte!	Je détecte une f-forte énergie !	¡D-d-detecto mucha energía!
ex.radio.2.017	この先にいる奴は相当強いぞ！	Was da vorne ist, ist richtig stark!	Ce qui nous attend est très puissant !	¡Lo que hay delante es muy poderoso!
ex.radio.2.018	この先は作戦が必要だ、フォックス！	Ab hier brauchen wir Taktik, Fox!	Il va falloir être tactiques, Fox !	¡Necesitaremos una buena táctica, Fox!
ex.radio.2.019	行こう、フォックス！れ、練習してきたよ！	Komm, Fox! Ich habe g-geübt!	Allez, Fox ! Je me suis e-entraîné !	¡Vamos, Fox! ¡He estado p-p-practicando!
ex.radio.2.020	今度こそ手ごわい相手がいるといいな！	Hoffentlich wird's diesmal anspruchsvoll!	J'espère qu'on aura enfin un vrai défi !	¡Espero un verdadero desafío esta vez!
ex.radio.2.021	よし、フォックス！行くぞ！	Alles klar, Fox! Los geht's!	Très bien, Fox ! On y va !	¡Muy bien, Fox! ¡Vamos allá!
ex.radio.2.022	こ、こんなコーネリアは初めてだよ！	So habe ich Corneria n-noch nie gesehen!	Je n'ai j-jamais vu Corneria comme ça !	¡N-n-nunca había visto Corneria así!
ex.radio.2.023	この星は生命にあふれてるな…	Dieser Planet steckt voller Leben...	Cette planète déborde de vie...	Este planeta está lleno de vida...
ex.radio.2.024	集中しろ！前方に何かいるぞ！	Bleib konzentriert! Da vorne ist etwas!	Reste concentré ! Il y a quelque chose devant !	¡Concéntrate! ¡Hay algo delante!
ex.radio.2.025	こ、ここは本当に乾燥してるね！ケロッ！	Hier ist es wirklich t-trocken! Quak!	C'est vraiment s-sec ici ! Croâ !	¡Aquí está todo muy s-s-seco! ¡Croac!
ex.radio.2.026	この辺には何があるんだろうな。	Was wir hier wohl finden werden?	Je me demande ce qu'on va trouver ici.	Me pregunto qué encontraremos por aquí.
ex.radio.2.027	やっと調子が出てきたぜ！	Ich werde gerade erst warm!	Je commence à peine à m'échauffer !	¡Apenas estoy calentando!
ex.radio.2.028	ま、前の方で音がしなかった？	H-habt ihr das Geräusch da vorne gehört?	Vous avez e-entendu ce bruit devant ?	¿O-o-oíste ese ruido de delante?
ex.radio.2.029	おい、この方向で合ってるのか？	Hey, fliegen wir in die richtige Richtung?	Hé, on va dans la bonne direction ?	Oye, ¿vamos en la dirección correcta?
ex.radio.2.030	レーダーが妨害されてる！	Mein Radar ist völlig gestört!	Mon radar est complètement brouillé !	¡Mi radar está lleno de interferencias!
ex.radio.2.031	うわっ！さ、寒すぎるよ！	Ahh! Es ist zu k-kalt!	Ah ! Il fait trop f-froid !	¡Ah! ¡Hace demasiado f-f-frío!
ex.radio.2.032	羽が凍っちまった！くそっ！	Meine Federn sind gefroren! Argh!	Mes plumes sont gelées ! Argh !	¡Se me congelaron las plumas! ¡Argh!
ex.radio.2.033	この氷に機体が耐えられるといいが！	Hoffentlich halten unsere Schiffe das Eis aus!	Pourvu que nos vaisseaux résistent à cette glace !	¡Espero que las naves resistan este hielo!
ex.radio.2.034	前の方があ、暖かい気がするよ！	Da vorne spüre ich etwas W-Warmes!	Je sens quelque chose de c-chaud devant !	¡Siento algo c-c-caliente delante!
ex.radio.2.035	おっ、羽が動くようになったぜ！	Hey, meine Federn sind wieder frei!	Hé, mes plumes sont dégelées !	¡Eh, mis plumas se descongelaron!
ex.radio.2.036	前方の温度が測定限界を超えてるぞ！	Die Hitze da vorne sprengt die Skala!	La chaleur devant dépasse les limites !	¡La temperatura de delante supera la escala!
ex.radio.2.037	あの雲、か、カエルみたい！	Die Wolke sieht aus wie ein F-Frosch!	Ce nuage ressemble à une g-grenouille !	¡Esa nube parece una r-r-rana!
ex.radio.2.038	雲に見とれてる場合じゃないぞ！	Nicht den Kopf in den Wolken haben!	Ne reste pas la tête dans les nuages !	¡Deja de estar en las nubes!
ex.radio.2.039	おっと、すごくまぶしいな！	Oh je, das ist wirklich hell!	Oh là là, c'est vraiment éblouissant !	¡Vaya, eso sí que deslumbra!
ex.radio.2.040	あの雲、フォックスにそっくりだね！	Die Wolke sieht aus wie du, Fox!	Ce nuage te ressemble, Fox !	¡Esa nube se parece a ti, Fox!
ex.radio.2.041	ちょっと失礼、通るだけさ…	Entschuldigung, ich schwebe nur vorbei...	Pardon, je ne fais que passer...	Disculpa, solo paso flotando...
ex.radio.2.042	レーダーに何か反応があるぞ！	Mein Radar erfasst etwas!	Mon radar détecte quelque chose !	¡Mi radar detecta algo!
ex.radio.2.043	行こう！う、後ろは任せて！	Los! Ich d-decke dir den Rücken!	Allons-y ! Je c-couvre tes arrières !	¡Vamos! ¡Te c-c-cubro la espalda!
ex.radio.2.044	さっさと終わらせて報酬をもらおうぜ！	Bringen wir's zu Ende und kassieren!	Finissons-en et touchons notre paie !	¡Acabemos con esto y cobremos!
ex.radio.2.045	早く引退したいもんだ…	Ich freue mich auf den Ruhestand...	Vivement la retraite...	Ya quiero jubilarme...
ex.radio.2.046	こ、これで最後だといいな…	Hoffentlich ist d-das das Ende...	Pourvu que ce soit la f-fin...	Espero que e-e-esto sea el final...
ex.radio.2.047	これが終わったら休暇だぜ！	Danach ist Urlaub angesagt!	Après ça, à nous les vacances !	¡Después de esto, vacaciones!
ex.radio.2.048	いよいよだ！最後の仕事だぞ！	Jetzt gilt's! Ein letzter Auftrag!	Ça y est ! Un dernier boulot !	¡Llegó la hora! ¡Un último trabajo!
ex.radio.2.049	本当に大騒ぎだね！ケロッ！	Hier geht's wirklich rund! Quak!	C'est vraiment la pagaille ! Croâ !	¡Esto es un caos! ¡Croac!
ex.radio.2.050	ワイパーを交換しておいてよかったぜ！	Gut, dass ich neue Scheibenwischer habe!	Heureusement que j'ai changé mes essuie-glaces !	¡Menos mal que cambié los limpiaparabrisas!
ex.radio.2.051	前方に何か見えるぞ…	Da vorne sehe ich etwas...	Je vois quelque chose devant...	Veo algo más adelante...
ex.radio.2.052	フォックス、ど、どこにいるの？援護して！	Fox, w-wo bist du? Wir brauchen Hilfe!	Fox, où es-tu ? Il nous faut du r-renfort !	¡Fox! ¿D-d-dónde estás? ¡Necesitamos apoyo!
ex.radio.2.053	おい！信号は来てるが姿が見えないぞ！	Hey! Dein Signal ist da, aber ich sehe dich nicht!	Hé ! J'ai ton signal, mais je ne te vois pas !	¡Oye! ¡Recibo tu señal, pero no te veo!
ex.radio.2.054	フォックス、コアは片付けたぞ！どこだ？	Fox, der Kern ist erledigt! Wo bist du?	Fox, on a détruit le noyau ! Où es-tu ?	¡Fox, acabamos con el núcleo! ¿Dónde estás?
ex.radio.2.055	レーダーにみ、見えた！今行くよ、フォックス！	Ich s-sehe dich auf dem Radar! Wir kommen, Fox!	Je te v-vois au radar ! On arrive, Fox !	¡Te v-v-veo en el radar! ¡Ya vamos, Fox!
ex.radio.2.056	フォックス、こっちは心配するな！任せとけ。	Keine Sorge um uns, Fox! Wir schaffen das.	Ne t'en fais pas pour nous, Fox ! On gère.	¡No te preocupes por nosotros, Fox! Podemos con esto.
ex.radio.2.057	位置は分かった。こちらのビーコンを追え！	Wir haben deine Position. Folge unserem Peilsignal!	On a ta position. Suis notre balise !	Tenemos tu posición. ¡Sigue nuestra baliza!
ex.radio.2.058	へえ、あの有名なスターフォックスか！	Na so was. Der berühmte Star Fox!	Tiens donc. Le célèbre Star Fox !	Vaya, ¡el famoso Star Fox!
ex.radio.2.059	今度は俺が仕切らせてもらうぜ。	Diesmal übernehme ich das Kommando.	Cette fois, c'est moi qui prends les choses en main.	Esta vez, yo me encargo de todo.
ex.radio.2.060	もう脇役はごめんだね。	Ich bin nicht länger der Handlanger.	Fini de jouer les seconds rôles.	Se acabó eso de ser el ayudante.
ex.radio.2.061	お前はきっとうまそうだな！	Du schmeckst bestimmt köstlich!	Tu dois être délicieux !	¡Seguro que estás delicioso!
ex.radio.2.062	今のところ、そ、そんなに悪くないね…	Bis jetzt ist es gar nicht so s-schlimm...	Pour l'instant, ce n'est p-pas si mal...	Por ahora no está t-t-tan mal...
ex.radio.2.063	で、どこが難しいんだ？	Und wo ist hier die Herausforderung?	Alors, il est où, le défi ?	¿Y dónde está el desafío?
ex.radio.2.064	油断するなよ…	Werd bloß nicht leichtsinnig...	Ne te relâche pas trop...	No te confíes demasiado...
ex.radio.2.065	こういう場所は大好きだよ！	Das ist ein Ort nach meinem Geschmack!	Voilà un endroit comme je les aime !	¡Este sí que es mi tipo de lugar!
ex.radio.2.066	羽をぬらさないようにしないとな！	Bloß nicht die Federn nass machen!	Pas question de mouiller mes plumes !	¡Más vale que no me moje las plumas!
ex.radio.2.067	忘れるな、機体は水に潜れないぞ！	Nicht vergessen: Unsere Schiffe können nicht tauchen!	N'oubliez pas : nos vaisseaux ne peuvent pas plonger !	¡Recuerden que nuestras naves no pueden sumergirse!
ex.radio.2.068	銀河は安全だと思っているかもしれんが…	Du glaubst vielleicht, die Galaxie sei sicher...	Tu crois peut-être la galaxie en sécurité...	Puede que creas que la galaxia está a salvo...
ex.radio.2.069	お前が見たのはほんの一部にすぎん！	Doch du hast kaum an der Oberfläche gekratzt!	Mais tu n'as fait qu'effleurer la surface !	¡Pero apenas has visto la superficie!
ex.radio.2.070	好きなだけ宇宙を探し回るがいい…	Erkunde den Kosmos, so viel du willst...	Explore le cosmos tant que tu voudras...	Explora el cosmos cuanto quieras...
ex.radio.2.071	…だが、我々には決して勝てん！	...doch uns wirst du niemals besiegen!	...mais tu ne nous vaincras jamais !	...¡pero nunca nos vencerás!
ex.radio.2.072	訓練へようこそ！	Willkommen beim Training!	Bienvenue à l'entraînement !	¡Bienvenido al entrenamiento!
ex.radio.2.073	操作タイプはAかCがおすすめだ！	Steuerung A oder C wird empfohlen!	Les commandes A ou C sont recommandées !	¡Recomiendo el control de tipo A o C!
ex.radio.2.074	LとRで機体を傾けられる。	Mit L und R neigst du dein Schiff.	Utilise L et R pour incliner ton vaisseau.	Usa L y R para inclinar la nave.
ex.radio.2.075	LかRを素早く2回押すとローリングだ！	Drücke L oder R zweimal für eine Fassrolle!	Appuie deux fois sur L ou R pour faire un tonneau !	¡Pulsa L o R dos veces para hacer un tonel!
ex.radio.2.076	機体を傾けると素早く移動できるぞ！	Neige dein Schiff, um dich schneller zu bewegen!	Incline ton vaisseau pour te déplacer plus vite !	¡Inclina la nave para moverte más rápido!
ex.radio.2.077	生き残るにはローリングも欠かせない！	Fassrollen sind auch überlebenswichtig!	Les tonneaux sont aussi essentiels pour survivre !	¡Los toneles también son esenciales para sobrevivir!
ex.radio.2.078	積極的に使うんだ！	Setze sie oft ein!	Utilise-les souvent !	¡Úsalos a menudo!
ex.radio.2.079	さあ、銀河を守りに行くんだ！	Jetzt los, beschütze die Galaxie!	Maintenant, va protéger la galaxie !	¡Ahora ve y protege la galaxia!
ex.radio.2.080	自己紹介をさせてもらおう。	Ich möchte mich vorstellen.	Permets-moi de me présenter.	Permíteme presentarme.
ex.radio.2.081	俺はパンサー！そして…	Ich bin Panther! Und...	Je suis Panther ! Et...	¡Soy Panther! Y...
ex.radio.2.082	この薔薇を見た者には死が訪れる！	Wer meine Rose sieht, findet den Tod!	Quiconque voit ma rose rencontre la mort !	¡Quien ve mi rosa encuentra la muerte!
ex.radio.2.083	ウルフの所には行かせん！	Du wirst Wolf nie erreichen!	Tu n'atteindras jamais Wolf !	¡Nunca llegarás hasta Wolf!
ex.radio.2.084	そう簡単には止められんぞ！	So leicht hältst du mich nicht auf!	Tu ne m'arrêteras pas si facilement !	¡No me detendrás tan fácilmente!
ex.radio.2.085	まさか！？お、俺が…	Wie kann das sein?! I-ich wurde...	Comment est-ce possible ?! J-j'ai été...	¡¿Cómo es posible?! M-me han...
ex.radio.2.086	ひゃあ…！？	Häää...!?	Hééé... !?	¡¿Haaa...?!
ex.radio.2.087	ピッ、ポッ…ひゃああ！	Piep, bup... Hyaaaa!	Bip, boup... Hyaaaa !	Bip, bup... ¡Hyaaaa!
ex.radio.2.088	うわあ。あの頭は何だ？	Wooow. Was sind das für Köpfe?	Ouaah. C'est quoi, toutes ces têtes ?	Vaya... ¿Qué son todas esas cabezas?
ex.radio.2.089	あ、待てよ、ポッ。俺だった。	Ach, warte, bup. Das bin ja ich.	Ah, attends, boup. C'est moi.	Ah, espera, bup. Soy yo.
ex.radio.2.090	ピッ、ピッ、ポッ。	Piep, piep, bup.	Bip, bip, boup.	Bip, bip, bup.
ex.radio.2.091	ヤハハ！見つかっちゃった！	Yahaha! Du hast mich gefunden!	Yahaha ! Tu m'as trouvé !	¡Yahaha! ¡Me encontraste!
ex.radio.2.092	だが、そんなことはどうでもいい！	Aber das spielt alles keine Rolle!	Mais tout cela n'a aucune importance !	¡Pero nada de eso importa!
ex.radio.2.093	ドドンゴを爆破する時間だ！	Zeit, ein paar Dodongos zu sprengen!	Il est temps de bombarder des Dodongos !	¡Hora de bombardear unos dodongos!
ex.radio.2.094	ごきげんよう、スターフォックス！	Seid gegrüßt, Team Star Fox!	Salutations, équipe Star Fox !	¡Saludos, equipo Star Fox!
ex.radio.2.095	進む方向は合っているぞ。	Ihr seid auf dem richtigen Weg.	Vous allez dans la bonne direction.	Van por el camino correcto.
ex.radio.2.096	行く前に、君たちは…	Bevor ihr geht, habt ihr...	Avant de partir, avez-vous...	Antes de irse, ¿tienen...
ex.radio.2.097	…挑戦する気はあるか？	...Lust auf eine Herausforderung?	...envie d'un défi ?	...ganas de un desafío?
